,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
0,NTTCF,NetCents Technology Inc.,1.0000,+0.9990,"+99,899.99%",480,"16,715",44.688M,N/A,16/09/2022 05:42:09
1,GETY,"Getty Images Holdings, Inc.",13.35,+2.73,+25.71%,1.01M,1.801M,4.575B,133.50,16/09/2022 05:42:09
2,STOR,STORE Capital Corporation,32.12,+5.33,+19.90%,3.04M,57.228M,9.08B,26.99,16/09/2022 05:42:09
3,RLLCF,Rolls-Royce Holdings plc,0.0080,+0.0009,+12.68%,"869,190",2.324M,174.406B,0.44,16/09/2022 05:42:09
4,EVEX,"Eve Holding, Inc.",10.63,+1.02,+10.61%,"93,598","170,175",2.832B,N/A,16/09/2022 05:42:09
5,EVGO,"EVgo, Inc.",10.14,+0.85,+9.15%,3.436M,6.864M,2.686B,N/A,16/09/2022 05:42:09
6,FOJCY,Fortum Oyj,2.1000,+0.1700,+8.81%,"17,467","21,558",9.075B,N/A,16/09/2022 05:42:09
7,WPLCF,Wise plc,6.68,+0.53,+8.67%,"132,141","63,397",9.011B,167.08,16/09/2022 05:42:09
8,HUM,Humana Inc.,497.24,+38.39,+8.37%,"838,366",2.623M,62.928B,20.30,16/09/2022 05:42:09
9,ROKU,"Roku, Inc.",73.81,+5.46,+7.99%,9.855M,18.253M,10.181B,62.55,16/09/2022 05:42:09
10,TBVPF,Thai Beverage Public Company Limited,0.4647,+0.0338,+7.84%,"44,320","18,300",12.23B,15.49,16/09/2022 05:42:09
11,WYNN,"Wynn Resorts, Limited",65.23,+4.54,+7.48%,2.669M,6.991M,7.419B,N/A,16/09/2022 05:42:09
12,NTLA,"Intellia Therapeutics, Inc.",68.58,+4.70,+7.36%,1.264M,2.005M,5.213B,N/A,16/09/2022 05:42:09
13,SPT,"Sprout Social, Inc.",66.47,+4.35,+7.00%,"489,606","497,328",3.633B,N/A,16/09/2022 05:42:09
14,LFST,"LifeStance Health Group, Inc.",8.97,+0.55,+6.53%,"749,641","875,602",3.374B,N/A,16/09/2022 05:42:09
15,BEAM,Beam Therapeutics Inc.,60.49,+3.66,+6.44%,1.29M,1.693M,4.256B,N/A,16/09/2022 05:42:09
16,LAZR,"Luminar Technologies, Inc.",9.45,+0.56,+6.30%,6.459M,5.466M,3.382B,N/A,16/09/2022 05:42:09
17,FNMAJ,Federal National Mortgage Association,3.1000,+0.1800,+6.16%,"6,746","15,298",4.279B,442.86,16/09/2022 05:42:09
18,PBCRF,PT Bank Central Asia Tbk,0.5684,+0.0323,+6.03%,"50,948","26,844",74.065B,28.42,16/09/2022 05:42:09
19,PTR,PetroChina Company Limited,46.85,+2.66,+6.01%,"249,045","183,179",136.899B,4.92,16/09/2022 05:42:09
20,CHPT,"ChargePoint Holdings, Inc.",19.25,+1.07,+5.89%,10.225M,24.775M,6.542B,N/A,16/09/2022 05:42:09
21,PATH,UiPath Inc.,15.17,+0.84,+5.86%,6.608M,11.19M,8.338B,N/A,16/09/2022 05:42:09
22,PHJMF,PT Hanjaya Mandala Sampoerna Tbk,0.0582,+0.0032,+5.82%,"108,307","264,300",7.385B,N/A,16/09/2022 05:42:09
23,PARA,Paramount Global,23.05,+1.13,+5.16%,9.116M,14.745M,15.098B,4.73,16/09/2022 05:42:09
24,MLCO,Melco Resorts & Entertainment Limited,5.83,+0.28,+5.05%,3.334M,4.831M,2.535B,N/A,16/09/2022 05:42:09
25,NFLX,"Netflix, Inc.",235.38,+11.26,+5.02%,9.613M,19.454M,104.675B,19.91,16/09/2022 05:42:09
26,SYM,Symbotic Inc.,13.39,+0.64,+5.02%,"411,498","361,159",7.138B,N/A,16/09/2022 05:42:09
27,PLTR,Palantir Technologies Inc.,8.01,+0.38,+4.98%,37.952M,51.267M,16.534B,N/A,16/09/2022 05:42:09
28,ACAD,ACADIA Pharmaceuticals Inc.,18.27,+0.84,+4.82%,2.154M,2.383M,2.957B,N/A,16/09/2022 05:42:09
29,FOLD,"Amicus Therapeutics, Inc.",10.95,+0.50,+4.78%,3.192M,3.578M,3.071B,N/A,16/09/2022 05:42:09
30,KBCSY,KBC Group NV,27.46,+1.23,+4.69%,"150,312","110,665",22.177B,9.25,16/09/2022 05:42:09
31,WUXAY,"WuXi AppTec Co., Ltd.",9.27,+0.41,+4.68%,"2,619","26,209",31.984B,26.50,16/09/2022 05:42:09
32,FMCCJ,Federal Home Loan Mortgage Corporation,4.5000,+0.2000,+4.65%,"2,332","15,978",2.039B,66.18,16/09/2022 05:42:09
33,RLAY,"Relay Therapeutics, Inc.",25.08,+1.11,+4.63%,1.308M,2.003M,2.731B,N/A,16/09/2022 05:42:09
34,PILBF,Pilbara Minerals Limited,3.1900,+0.1400,+4.59%,"290,698","178,288",9.66B,26.58,16/09/2022 05:42:09
35,NAVI,Navient Corporation,14.28,+0.62,+4.54%,1.451M,2.954M,2.026B,3.57,16/09/2022 05:42:09
36,CHGG,"Chegg, Inc.",22.93,+0.99,+4.51%,2.103M,1.565M,2.898B,67.44,16/09/2022 05:42:09
37,CGSHY,Country Garden Services Holdings Company Limited,1.9750,+0.0850,+4.50%,"10,204","82,766",7.154B,10.97,16/09/2022 05:42:09
38,DKNG,DraftKings Inc.,19.22,+0.82,+4.46%,19.654M,30.191M,8.621B,N/A,16/09/2022 05:42:09
39,RARE,Ultragenyx Pharmaceutical Inc.,47.28,+2.01,+4.44%,"709,633","639,495",3.311B,N/A,16/09/2022 05:42:09
40,AMBP,Ardagh Metal Packaging S.A.,5.89,+0.25,+4.43%,1.733M,6.121M,3.554B,N/A,16/09/2022 05:42:09
41,PARAA,Paramount Global,26.20,+1.11,+4.42%,"47,764","55,515",14.993B,5.38,16/09/2022 05:42:09
42,MNDY,monday.com Ltd.,140.54,+5.95,+4.42%,"578,545",2.101M,6.144B,N/A,16/09/2022 05:42:09
43,PTON,"Peloton Interactive, Inc.",10.68,+0.45,+4.40%,14.987M,10.392M,3.614B,N/A,16/09/2022 05:42:09
44,HOOD,"Robinhood Markets, Inc.",11.25,+0.47,+4.36%,13.705M,18.489M,9.401B,N/A,16/09/2022 05:42:09
45,LGF-A,Lions Gate Entertainment Corp.,10.54,+0.44,+4.36%,"565,366","444,034",2.319B,N/A,16/09/2022 05:42:09
46,JMHLY,Jardine Matheson Holdings Limited,56.29,+2.34,+4.35%,"21,337","24,470",16.327B,7.19,16/09/2022 05:42:09
47,LGF-B,Lions Gate Entertainment Corp.,9.92,+0.41,+4.31%,"742,974","521,789",2.318B,N/A,16/09/2022 05:42:09
48,AAVMY,ABN AMRO Bank N.V.,10.61,+0.43,+4.22%,"51,375","20,620",9.226B,6.28,16/09/2022 05:42:09
49,DNKEY,Danske Bank A/S,7.17,+0.29,+4.22%,"67,411","47,678",12.175B,8.15,16/09/2022 05:42:09
50,WIX,Wix.com Ltd.,76.36,+3.05,+4.16%,"987,962",1.688M,4.388B,N/A,16/09/2022 05:42:09
