,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
0,HKD,AMTD Digital Inc.,134.69,-54.73,-28.89%,"430,406",1.411M,25.247B,259.02,16/09/2022 05:42:09
1,ADBE,Adobe Inc.,309.13,-62.39,-16.79%,2.978M,27.84M,144.673B,30.43,16/09/2022 05:42:09
2,ARNC,Arconic Corporation,21.24,-4.24,-16.64%,"899,130",3.912M,2.181B,18.00,16/09/2022 05:42:09
3,SPB,"Spectrum Brands Holdings, Inc.",49.29,-9.54,-16.22%,"434,506",4.603M,2.01B,19.65,16/09/2022 05:42:09
4,MLSPF,Melrose Industries PLC,1.2301,-0.1699,-12.14%,"10,112","46,544",5.063B,5.67,16/09/2022 05:42:09
5,RKLB,"Rocket Lab USA, Inc.",5.10,-0.61,-10.68%,4.429M,11.841M,2.392B,N/A,16/09/2022 05:42:09
6,CVI,"CVR Energy, Inc.",29.63,-3.11,-9.50%,"862,464",1.197M,2.979B,9.06,16/09/2022 05:42:09
7,ARRY,"Array Technologies, Inc.",18.01,-1.88,-9.45%,4.547M,17.125M,2.707B,N/A,16/09/2022 05:42:09
8,HCM,HUTCHMED (China) Limited,12.07,-1.16,-8.77%,"331,095","520,543",2.218B,N/A,16/09/2022 05:42:09
9,YPF,YPF Sociedad Anónima,6.67,-0.63,-8.63%,2.455M,5.147M,5.077B,2.16,16/09/2022 05:42:09
10,SQM,Sociedad Química y Minera de Chile S.A.,104.52,-9.00,-7.93%,1.629M,1.852M,26.83B,14.34,16/09/2022 05:42:09
11,EQRX,"EQRx, Inc.",4.9650,-0.4150,-7.71%,2.571M,10.133M,2.225B,N/A,16/09/2022 05:42:09
12,DQ,Daqo New Energy Corp.,57.81,-4.82,-7.70%,1.778M,2.056M,4.335B,3.01,16/09/2022 05:42:09
13,CPE,Callon Petroleum Company,41.18,-3.42,-7.67%,1.665M,1.872M,2.541B,2.58,16/09/2022 05:42:09
14,BTU,Peabody Energy Corporation,21.52,-1.67,-7.20%,5.688M,5.37M,3.097B,3.49,16/09/2022 05:42:09
15,EE,"Excelerate Energy, Inc.",26.25,-1.98,-7.01%,"582,961","642,388",2.842B,17.62,16/09/2022 05:42:09
16,TKC,Turkcell Iletisim Hizmetleri A.S.,3.1900,-0.2400,-7.00%,"603,564","624,889",2.718B,9.38,16/09/2022 05:42:09
17,TELL,Tellurian Inc.,3.8600,-0.2900,-6.99%,16.54M,17.2M,2.18B,N/A,16/09/2022 05:42:09
18,MCW,"Mister Car Wash, Inc.",9.70,-0.72,-6.91%,1.438M,4.04M,2.952B,20.21,16/09/2022 05:42:09
19,MNTK,"Montauk Renewables, Inc.",18.93,-1.39,-6.84%,"510,729","669,600",2.718B,75.72,16/09/2022 05:42:09
20,NARI,"Inari Medical, Inc.",73.75,-5.27,-6.67%,"714,004",1.755M,3.937B,N/A,16/09/2022 05:42:09
21,ALB,Albemarle Corporation,286.75,-19.90,-6.49%,1.29M,1.6M,33.587B,132.75,16/09/2022 05:42:09
22,NXE,NexGen Energy Ltd.,4.2600,-0.2800,-6.17%,2.243M,1.967M,2.058B,N/A,16/09/2022 05:42:09
23,KIGRY,KION GROUP AG,5.56,-0.36,-6.08%,"146,450",1.211M,4.487B,7.04,16/09/2022 05:42:09
24,ENIC,Enel Chile S.A.,1.7400,-0.1100,-5.95%,"590,482","399,801",2.529B,29.00,16/09/2022 05:42:09
25,CRK,"Comstock Resources, Inc.",19.97,-1.26,-5.93%,3.741M,4.273M,4.656B,15.02,16/09/2022 05:42:09
26,DBRG,"DigitalBridge Group, Inc.",16.97,-1.07,-5.93%,1.694M,1.608M,2.784B,N/A,16/09/2022 05:42:09
27,PGY,Pagaya Technologies Ltd.,11.03,-0.69,-5.89%,4.567M,"259,163",7.218B,N/A,16/09/2022 05:42:09
28,WST,"West Pharmaceutical Services, Inc.",273.73,-17.09,-5.88%,"385,572","833,107",20.269B,30.52,16/09/2022 05:42:09
29,TEO,Telecom Argentina S.A.,4.5200,-0.2800,-5.83%,"119,956","160,098",2.6B,6.28,16/09/2022 05:42:09
30,HGTY,"Hagerty, Inc.",10.50,-0.65,-5.83%,"204,014","385,249",3.502B,N/A,16/09/2022 05:42:09
31,HNNMY,H & M Hennes & Mauritz AB (publ),1.9400,-0.1200,-5.83%,"259,172","246,378",19.771B,13.86,16/09/2022 05:42:09
32,CLVT,Clarivate Plc,10.91,-0.67,-5.79%,4.872M,11.886M,7.348B,N/A,16/09/2022 05:42:09
