BEKE,BEKE
KOS,KOS
MTDR,MTDR
CPT,CPT
HPQ,HPQ
CDEV,CDEV
QCOM,QCOM
BILI,BILI
EDU,EDU
JD,JD
UMC,UMC
VIV,VIV
WBA,WBA
INFY,INFY
NLSN,NLSN
KEY,KEY
VIPS,VIPS
ERIC,ERIC
FCEL,FCEL
X,X
BMY,BMY
HBAN,HBAN
ALLG,ALLG
JBHT,JBHT
HUBG,HUBG
SDXAY,SDXAY
SNDR,SNDR
WERN,WERN
LSTR,LSTR
SMBMF,SMBMF
NPNYY,NPNYY
NSC,NSC
ODFL,ODFL
R,R
SCBFF,SCBFF
KNX,KNX
COMP,COMP
MKSI,MKSI
TFII,TFII
LLDTF,LLDTF
CRDO,CRDO
ACLS,ACLS
CP,CP
DNUT,DNUT
UNP,UNP
AAWW,AAWW
ON,ON
CNI,CNI
ALE,ALE
ENTG,ENTG
HTZ,HTZ
ACIW,ACIW
FWRD,FWRD
MPWR,MPWR
DAVE,DAVE
FDX,FDX
HRI,HRI
CHRW,CHRW
MATX,MATX
SGIOY,SGIOY
TBK,TBK
GPS,GPS
TUIFY,TUIFY
XPO,XPO
DXC,DXC
EXPI,EXPI
FNF,FNF
FICO,FICO
UPS,UPS
CXMSF,CXMSF
WFG,WFG
VRRM,VRRM
COLB,COLB
DIOD,DIOD
RF,RF
SITM,SITM
BRDG,BRDG
AZO,AZO
AMAT,AMAT
WEX,WEX
TNL,TNL
MXL,MXL
PCAR,PCAR
EPAM,EPAM
CF,CF
LOGI,LOGI
ZETA,ZETA
LSCC,LSCC
FAF,FAF
ALPMY,ALPMY
EXPD,EXPD
CRI,CRI
VORB,VORB
CMPGY,CMPGY
GXO,GXO
FITB,FITB
MTB,MTB
TSCO,TSCO
SEAS,SEAS
TGDLF,TGDLF
FUTU,FUTU
YMM,YMM
OLLI,OLLI
NRGV,NRGV
NEGG,NEGG
SPWR,SPWR
CZOO,CZOO
ZNTL,ZNTL
KIND,KIND
NVNXF,NVNXF
UNLRY,UNLRY
RLAY,RLAY
PACB,PACB
NVX,NVX
SHLS,SHLS
BIDU,BIDU
