,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,CRZBY,6.82,-0.45,-6.19,7.27
1,CORZ,1.445,-0.09,-6.17,1.54
2,MKTAY,24.5,-0.5,-2.0,25.0
3,GSHD,45.705,-1.62,-3.41,47.32
4,KMTUY,21.91,-0.63,-2.8,22.54
5,MP,32.35,-1.76,-5.16,34.11
6,SMNNY,16.65,0.06,0.36,16.59
7,GO,42.71,-0.19,-0.44,42.9
8,OHI,28.33,-0.77,-2.65,29.1
9,LAD,273.91,-12.75,-4.45,286.66
10,VRT,8.29,-0.65,-7.27,8.94
11,KUBTY,72.705,-2.3,-3.06,75.0
12,SBRA,14.111,-0.53,-3.61,14.64
13,A,117.135,-0.77,-0.65,117.9
14,OCDDY,18.5,-1.1,-5.61,19.6
15,PAY,13.17,-0.21,-1.57,13.38
16,PAX,13.09,-0.17,-1.28,13.26
17,UNCRY,4.62,-0.33,-6.57,4.945
18,BTLCY,5.4,-0.16,-2.88,5.56
19,RYCEY,1.065,-0.01,-0.47,1.07
20,PHG,21.142,-0.18,-0.83,21.32
21,RNG,51.71,-3.68,-6.64,55.39
22,IBDSF,10.467,-0.03,-0.27,10.495
23,MRTX,65.19,-2.05,-3.05,67.24
24,BJ,62.33,-0.49,-0.78,62.82
25,DHR,249.76,-3.1,-1.23,252.86
26,SMCAY,21.9,-0.36,-1.6,22.256
27,ADRNY,25.815,-0.32,-1.24,26.14
28,ENSG,73.98,-1.6,-2.12,75.58
29,WST,295.23,-4.29,-1.43,299.52
30,ESALY,42.0,-0.58,-1.36,42.58
31,BBBY,5.2,0.21,4.21,4.99
32,GNS,5.84,-0.06,-1.02,5.9
33,TTLHF,0.506,-0.0,-0.78,0.51
34,HSTO,2.24,-0.08,-3.45,2.32
35,ATNM,4.895,-0.08,-1.51,4.97
36,SONN,0.264,-0.01,-1.86,0.269
37,AGRX,1.274,-0.27,-17.27,1.54
38,QLGN,0.5411,-0.03,-5.0,0.5696
39,0883.HK,10.36,-0.08,-0.77,10.44
40,POONAWALLA.NS,227.7,-2.55,-1.11,230.25
41,SCHW,61.62,-2.0,-3.14,63.62
42,TD.TO,83.76,-1.13,-1.33,84.89
43,EPD,24.52,-0.04,-0.16,24.56
44,LIN,284.43,-6.98,-2.4,291.41
45,HCC,30.515,-1.7,-5.26,32.21
46,LNTH,63.5,-0.71,-1.11,64.21
47,ASH,101.93,-0.68,-0.66,102.61
48,ALGT,111.51,-2.27,-2.0,113.78
49,NTES,90.62,-1.9,-2.05,92.52
50,PLL,36.57,-2.16,-5.58,38.73
51,CUK,7.56,-0.56,-6.9,8.12
52,MT,22.27,-1.24,-5.27,23.51
53,ABNB,88.235,-5.7,-6.06,93.93
54,TRIP,17.67,-0.73,-3.97,18.4
55,PVH,56.255,-2.05,-3.52,58.31
56,PK,13.22,-0.51,-3.71,13.73
57,APLS,44.37,-0.82,-1.81,45.19
58,DKILY,15.856,-0.13,-0.8,15.984
59,ASX,5.135,-0.17,-3.3,5.31
60,YOU,19.25,-0.9,-4.47,20.15
61,TEF,5.07,-0.04,-0.78,5.11
62,MRNA,139.36,-3.45,-2.42,142.81
63,AAFRF,1.645,0.0,0.0,1.645
64,SPLK,87.65,-4.67,-5.06,92.32
65,MAR,134.835,-2.89,-2.1,137.73
66,ZIM,45.43,-1.67,-3.55,47.1
67,HLMN,8.35,-0.27,-3.13,8.62
68,EAF,7.095,-0.11,-1.46,7.2
69,TSCDY,9.18,-0.17,-1.82,9.3501
70,CILJF,1.73,0.0,0.0,1.73
71,REYN,27.11,0.16,0.59,26.95
72,CGSHY,4.36,-0.08,-1.75,4.4375
73,CIHHF,6.65,0.0,0.0,6.65
74,BLK,603.57,-14.39,-2.33,617.96
75,BCTX,5.845,-0.24,-3.87,6.08
76,ATRS,5.59,0.0,0.0,5.59
77,SRRA,54.99,0.02,0.04,54.97
78,KLDO,0.061,-0.0,-2.71,0.0627
79,GS,293.985,-9.29,-3.06,303.28
80,FAST,49.8,0.09,0.18,49.71
81,STAB,0.27,0.0,0.0,0.27
82,ARTL,0.311,-0.01,-1.58,0.316
83,METX,1.39,-0.05,-3.47,1.44
84,CTIC,5.315,-0.15,-2.83,5.47
85,KKPNY,3.57,-0.05,-1.38,3.62
86,VALN,22.46,-1.48,-6.18,23.94
87,NDEKY,32.65,0.1,0.31,32.55
88,OTSKY,17.581,0.02,0.12,17.56
