Symbol,Name,Last Sale,Net Change,% Change,Market Cap
AAPL,Apple Inc. Common Stock,$159.48,1.52,0.962%,"2,764,958,983,200"
MSFT,Microsoft Corporation Common Stock,$281.78,-2.69,-0.946%,"2,107,441,956,780"
GOOG,Alphabet Inc. Class C Capital Stock,$2362.59,19.45,0.83%,"1,555,765,224,401"
GOOGL,Alphabet Inc. Class A Common Stock,$2346.68,15.02,0.644%,"1,545,288,491,358"
AMZN,"Amazon.com, Inc. Common Stock",$2485.07,-4.93,-0.198%,"1,264,206,005,719"
TSLA,"Tesla, Inc. Common Stock",$909.25,6.31,0.699%,"941,992,024,306"
VFC,V.F. Corporation Common Stock,$51.95,-0.24,-0.46%,"646,510,131,221"
FB,"Meta Platforms, Inc. Class A Common Stock",$212.03,0.90,0.426%,"573,821,747,746"
NVDA,NVIDIA Corporation Common Stock,$196.02,0.69,0.353%,"490,836,893,083"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$93.63,-0.13,-0.139%,"485,546,331,438"
JNJ,Johnson & Johnson Common Stock,$178.29,-0.35,-0.196%,"469,152,627,635"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$499.62,-1.53,-0.305%,"469,117,846,268"
V,Visa Inc.,$208.56,-2.97,-1.404%,"434,705,738,114"
WMT,Walmart Inc. Common Stock,$152.51,0.53,0.349%,"419,826,763,756"
PG,Procter & Gamble Company (The) Common Stock,$156.21,-2.17,-1.37%,"374,794,159,533"
XOM,Exxon Mobil Corporation Common Stock,$88.19,1.78,2.06%,"372,662,165,896"
JPM,JP Morgan Chase & Co. Common Stock,$123.03,2.58,2.142%,"361,351,413,000"
MA,Mastercard Incorporated Common Stock,$357.79,-1.25,-0.348%,"348,002,555,442"
BAC,Bank of America Corporation Common Stock,$37.13,0.99,2.739%,"320,329,887,256"
CVX,Chevron Corporation Common Stock,$162.49,2.74,1.715%,"319,270,435,967"
HD,"Home Depot, Inc. (The) Common Stock",$304.96,-2.01,-0.655%,"315,135,200,212"
PFE,"Pfizer, Inc. Common Stock",$49.29,0.95,1.965%,"278,378,803,133"
LLY,Eli Lilly and Company Common Stock,$288.07,-1.49,-0.515%,"273,712,464,161"
KO,Coca-Cola Company (The) Common Stock,$63.08,-0.36,-0.567%,"273,453,612,099"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$100.38,-0.83,-0.82%,"269,771,250,000"
ABBV,AbbVie Inc. Common Stock,$149.60,1.73,1.17%,"264,236,224,630"
NVO,Novo Nordisk A/S Common Stock,$113.18,-0.66,-0.58%,"257,286,614,051"
AVGO,Broadcom Inc. Common Stock,$581.17,4.82,0.836%,"237,280,767,569"
TM,Toyota Motor Corporation Common Stock,$172.06,1.37,0.803%,"237,069,456,297"
COST,Costco Wholesale Corporation Common Stock,$528.08,-0.87,-0.164%,"234,057,883,063"
PEP,"PepsiCo, Inc. Common Stock",$167.99,0.23,0.137%,"232,277,011,076"
ASML,ASML Holding N.V. New York Registry Shares,$570.68,3.7802,0.667%,"229,756,688,507"
MRK,"Merck & Company, Inc. Common Stock (new)",$87.10,-0.55,-0.627%,"220,219,553,704"
TMO,Thermo Fisher Scientific Inc Common Stock,$546.32,0.80,0.147%,"213,851,221,630"
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$55.64,1.91,3.555%,"209,566,974,297"
AZN,AstraZeneca PLC American Depositary Shares,$67.17,0.74,1.114%,"208,153,628,328"
