,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,HKD,AMTD Digital Inc.,180.00,+103.31,+134.71%,2.407M,1.351M,33.308B,750.00,29/07/2022 03:51:36
1,RUN,Sunrun Inc.,30.92,+7.13,+29.97%,42.866M,7.825M,6.497B,N/A,29/07/2022 03:51:36
2,NOVA,Sunnova Energy International Inc.,24.92,+5.44,+27.93%,15.59M,2.965M,2.857B,N/A,29/07/2022 03:51:36
3,PLUG,Plug Power Inc.,21.63,+4.45,+25.90%,77.067M,22.249M,12.763B,N/A,29/07/2022 03:51:36
4,ARRY,"Array Technologies, Inc.",16.10,+3.06,+23.47%,12.423M,4.652M,2.418B,N/A,29/07/2022 03:51:36
5,ULCC,"Frontier Group Holdings, Inc.",13.58,+2.31,+20.50%,12.802M,2.825M,2.955B,N/A,29/07/2022 03:51:36
6,WING,Wingstop Inc.,119.80,+20.12,+20.18%,3.125M,"853,709",3.579B,94.33,29/07/2022 03:51:36
7,PI,"Impinj, Inc.",82.93,+13.05,+18.67%,"858,185","300,803",2.105B,N/A,29/07/2022 03:51:36
8,SHLS,"Shoals Technologies Group, Inc.",22.52,+3.49,+18.34%,4.896M,2.666M,2.531B,204.73,29/07/2022 03:51:36
9,SPWR,SunPower Corporation,19.83,+3.05,+18.18%,8.397M,2.861M,3.448B,396.60,29/07/2022 03:51:36
10,BE,Bloom Energy Corporation,20.17,+2.97,+17.27%,7.128M,2.866M,3.386B,N/A,29/07/2022 03:51:36
11,CHPT,"ChargePoint Holdings, Inc.",15.30,+2.16,+16.44%,19.061M,10.557M,5.156B,N/A,29/07/2022 03:51:36
12,CEG,Constellation Energy Corporation,64.59,+9.06,+16.32%,8.363M,2.668M,21.101B,30.32,29/07/2022 03:51:36
13,HTZ,"Hertz Global Holdings, Inc.",20.16,+2.74,+15.73%,15.967M,5.54M,8.308B,78.14,29/07/2022 03:51:36
14,FSLR,"First Solar, Inc.",88.50,+11.74,+15.29%,7.707M,1.593M,9.433B,42.14,29/07/2022 03:51:36
15,VWDRY,Vestas Wind Systems A/S,8.49,+1.12,+15.26%,"671,876","541,250",25.742B,N/A,29/07/2022 03:51:36
16,GBTG,"Global Business Travel Group, Inc.",7.02,+0.90,+14.71%,"316,160","214,896",3.169B,N/A,29/07/2022 03:51:36
17,INMD,InMode Ltd.,33.35,+4.07,+13.90%,4.764M,2.093M,2.771B,16.19,29/07/2022 03:51:36
18,ENIC,Enel Chile S.A.,1.4600,+0.1700,+13.18%,"880,204","679,177",2.02B,18.25,29/07/2022 03:51:36
19,BLDP,Ballard Power Systems Inc.,8.01,+0.93,+13.14%,11.08M,4.385M,2.388B,N/A,29/07/2022 03:51:36
20,GSHD,"Goosehead Insurance, Inc",59.95,+6.90,+13.01%,1.52M,"307,832",2.226B,333.06,29/07/2022 03:51:36
21,EVGO,"EVgo, Inc.",8.53,+0.98,+12.98%,5.361M,2.835M,2.259B,N/A,29/07/2022 03:51:36
22,EDU,New Oriental Education & Technology Group Inc.,29.00,+3.26,+12.67%,8.187M,5.223M,4.921B,N/A,29/07/2022 03:51:36
23,MTHRY,"M3, Inc.",16.34,+1.76,+12.07%,"42,781","81,214",22.186B,46.69,29/07/2022 03:51:36
24,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",36.51,+3.69,+11.24%,1.909M,1.034M,3.166B,25.89,29/07/2022 03:51:36
25,SAIA,"Saia, Inc.",234.03,+22.98,+10.89%,"700,094","493,444",6.18B,20.66,29/07/2022 03:51:36
26,ONON,On Holding AG,21.17,+2.06,+10.78%,3.458M,2.59M,6.659B,N/A,29/07/2022 03:51:36
27,AMRC,"Ameresco, Inc.",54.65,+5.29,+10.72%,"548,851","415,896",2.831B,34.59,29/07/2022 03:51:36
28,FCFS,"FirstCash Holdings, Inc",72.11,+6.81,+10.43%,"281,738","225,708",3.423B,25.75,29/07/2022 03:51:36
29,EGFEY,Eurobank Ergasias Services and Holdings S.A.,0.4300,+0.0401,+10.28%,"41,697","132,004",3.542B,6.14,29/07/2022 03:51:36
30,EXLS,"ExlService Holdings, Inc.",163.52,+14.98,+10.08%,"489,805","233,483",5.443B,46.19,29/07/2022 03:51:36
31,FTI,TechnipFMC plc,7.33,+0.67,+10.06%,8.649M,8.573M,3.315B,N/A,29/07/2022 03:51:36
32,CAR,"Avis Budget Group, Inc.",171.95,+15.66,+10.02%,1.048M,"982,670",8.303B,5.16,29/07/2022 03:51:36
33,DEN,Denbury Inc.,70.00,+6.37,+10.01%,1.057M,"581,077",3.526B,28.57,29/07/2022 03:51:36
34,TIGO,Millicom International Cellular S.A.,15.24,+1.38,+9.96%,"245,053","192,978",2.604B,3.22,29/07/2022 03:51:36
35,ETSY,"Etsy, Inc.",104.92,+9.42,+9.86%,9.894M,5.174M,13.337B,34.18,29/07/2022 03:51:36
