,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,0.3480,+0.0580,+20.00%,"155,325","109,057",52.737B,19.33
1,PTITF,PT Indosat Tbk,0.4688,+0.0588,+14.33%,"37,404",654,3.995B,N/A
2,FBBPF,FIBRA Prologis,3.0600,+0.3600,+13.33%,"19,366","6,029",2.768B,5.21
3,EGRNF,China Evergrande Group,0.1900,+0.0210,+12.43%,"81,200","116,454",3.123B,1.01
4,AVNT,Avient Corporation,53.76,+5.88,+12.28%,1.15M,"455,644",4.915B,21.42
5,CAR,"Avis Budget Group, Inc.",319.42,+34.07,+11.94%,1.784M,1.074M,15.904B,16.43
6,WFG,West Fraser Timber Co. Ltd.,88.79,+8.57,+10.68%,"872,941","325,862",9.298B,3.28
7,MTB,M&T Bank Corporation,176.34,+14.30,+8.82%,4.021M,1.721M,31.733B,12.78
8,SGRY,"Surgery Partners, Inc.",61.69,+4.72,+8.29%,"464,681","374,427",5.546B,N/A
9,COMP,"Compass, Inc.",6.81,+0.47,+7.41%,3.334M,2.502M,2.907B,N/A
10,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,9.20,+0.62,+7.17%,"60,649","25,937",14.434B,12.12
11,IBM,International Business Machines Corporation,138.32,+9.17,+7.10%,17.545M,5.247M,123.979B,21.79
12,CRH,CRH plc,42.48,+2.79,+7.03%,2.979M,"774,262",32.548B,13.03
13,LEGN,Legend Biotech Corporation,40.74,+2.49,+6.51%,1.687M,"821,918",6.283B,N/A
14,BCC,Boise Cascade Company,80.72,+4.91,+6.48%,"472,439","476,139",3.184B,4.49
15,BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,16.84,+0.95,+5.98%,"53,402","88,742",51.117B,18.71
16,MLI,"Mueller Industries, Inc.",59.66,+3.34,+5.93%,"452,699","369,619",3.415B,7.23
17,LPX,Louisiana-Pacific Corporation,66.50,+3.71,+5.91%,1.459M,1.151M,5.721B,4.72
18,DANOY,Danone S.A.,12.10,+0.67,+5.86%,"365,963","815,204",38.604B,19.10
19,VST,Vistra Corp.,26.26,+1.44,+5.80%,8.81M,4.672M,11.58B,N/A
20,NLLSF,Nel ASA,1.8400,+0.1000,+5.75%,"29,833","56,654",2.868B,N/A
21,HTZ,"Hertz Global Holdings, Inc.",23.90,+1.26,+5.57%,6.495M,5.598M,9.969B,N/A
22,THC,Tenet Healthcare Corporation,89.01,+4.68,+5.55%,2.348M,1.268M,9.721B,10.57
23,LFST,"LifeStance Health Group, Inc.",10.90,+0.57,+5.52%,"452,600","888,836",4.08B,N/A
24,MEGEF,MEG Energy Corp.,15.82,+0.82,+5.47%,"125,571","148,557",4.857B,21.91
