,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,PHJMF,PT Hanjaya Mandala Sampoerna Tbk,0.0410,-0.0250,-37.88%,"40,173","162,300",4.769B,N/A,29/07/2022 03:51:36
1,HAYW,"Hayward Holdings, Inc.",11.21,-2.50,-18.23%,6.645M,1.911M,2.449B,6.67,29/07/2022 03:51:36
2,PGY,Pagaya Technologies Ltd.,17.97,-4.00,-18.21%,7.274M,4.012M,11.751B,N/A,29/07/2022 03:51:36
3,UPWK,Upwork Inc.,18.97,-4.17,-18.02%,5.744M,1.403M,2.459B,N/A,29/07/2022 03:51:36
4,TDOC,"Teladoc Health, Inc.",35.60,-7.64,-17.67%,26.344M,7.104M,5.738B,N/A,29/07/2022 03:51:36
5,SWK,"Stanley Black & Decker, Inc.",98.58,-18.87,-16.07%,7.679M,1.851M,14.882B,12.61,29/07/2022 03:51:36
6,SCRYY,SCOR SE,1.7301,-0.3199,-15.60%,"86,424","20,931",2.978B,6.92,29/07/2022 03:51:36
7,PEGA,Pegasystems Inc.,40.24,-7.31,-15.37%,1.899M,"633,962",3.292B,N/A,29/07/2022 03:51:36
8,FMS,Fresenius Medical Care AG & Co. KGaA,19.32,-3.17,-14.10%,1.967M,"760,706",11.323B,12.63,29/07/2022 03:51:36
9,FORM,"FormFactor, Inc.",34.66,-5.61,-13.93%,1.315M,"427,485",2.706B,28.41,29/07/2022 03:51:36
10,CINF,Cincinnati Financial Corporation,97.68,-15.78,-13.91%,2.362M,"716,111",15.663B,7.76,29/07/2022 03:51:36
11,ACCYY,Accor SA,5.12,-0.77,-13.07%,"100,657","114,704",6.731B,128.00,29/07/2022 03:51:36
12,BAX,Baxter International Inc.,59.50,-7.30,-10.93%,9.049M,2.904M,29.96B,28.47,29/07/2022 03:51:36
13,LBRDA,Liberty Broadband Corporation,108.30,-12.45,-10.31%,"424,891","349,595",17.484B,19.91,29/07/2022 03:51:36
14,GRFS,"Grifols, S.A.",9.52,-1.08,-10.19%,1.54M,"845,142",8.692B,32.83,29/07/2022 03:51:36
15,CNX,CNX Resources Corporation,17.55,-1.97,-10.09%,6.168M,3.546M,3.423B,N/A,29/07/2022 03:51:36
16,SLM,SLM Corporation,15.51,-1.74,-10.09%,6.022M,2.848M,4.176B,6.71,29/07/2022 03:51:36
17,SNN,Smith & Nephew plc,26.46,-2.89,-9.85%,2.429M,"713,809",11.543B,22.24,29/07/2022 03:51:36
18,LBRDK,Liberty Broadband Corporation,109.68,-11.82,-9.73%,2.231M,1.128M,17.597B,20.20,29/07/2022 03:51:36
19,CMCSA,Comcast Corporation,39.41,-3.96,-9.13%,46.133M,23.947M,176.557B,12.67,29/07/2022 03:51:36
20,FCN,"FTI Consulting, Inc.",165.55,-16.48,-9.05%,"733,016","278,278",5.707B,25.99,29/07/2022 03:51:36
