,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,F,Ford Motor Company,14.00,+0.81,+6.14%,142.325M,59.935M,55.285B,4.90,29/07/2022 03:51:36
1,SNAP,Snap Inc.,9.67,+0.12,+1.26%,96.368M,54.817M,15.946B,N/A,29/07/2022 03:51:36
2,AMZN,"Amazon.com, Inc.",122.28,+1.31,+1.08%,82.246M,85.45M,1.244T,56.09,29/07/2022 03:51:36
3,AAPL,Apple Inc.,157.35,+0.56,+0.36%,81.379M,90.072M,2.547T,25.59,29/07/2022 03:51:36
4,PLUG,Plug Power Inc.,21.63,+4.45,+25.90%,77.067M,22.249M,12.763B,N/A,29/07/2022 03:51:36
5,AMD,"Advanced Micro Devices, Inc.",91.67,+1.85,+2.06%,77.735M,106.321M,148.552B,32.51,29/07/2022 03:51:36
6,META,"Meta Platforms, Inc.",160.72,-8.86,-5.22%,72.939M,31.208M,434.96B,11.44,29/07/2022 03:51:36
7,CCL,Carnival Corporation & plc,9.10,+0.25,+2.82%,57.472M,52.888M,11.672B,N/A,29/07/2022 03:51:36
8,INTC,Intel Corporation,39.71,-0.47,-1.17%,56.662M,36.452M,162.374B,6.60,29/07/2022 03:51:36
9,NLY,"Annaly Capital Management, Inc.",6.79,+0.24,+3.66%,49.797M,34.279M,10.599B,3.92,29/07/2022 03:51:36
10,NVDA,NVIDIA Corporation,179.84,+1.94,+1.09%,47.465M,56.578M,448.161B,48.23,29/07/2022 03:51:36
11,CMCSA,Comcast Corporation,39.41,-3.96,-9.13%,46.133M,23.947M,176.557B,12.67,29/07/2022 03:51:36
12,XLF,Financial Select Sector SPDR Fund,33.24,+0.24,+0.73%,40.945M,62.123M,29.366B,3.45,29/07/2022 03:51:36
13,T,AT&T Inc.,18.58,+0.19,+1.03%,40.938M,41.756M,132.401B,6.78,29/07/2022 03:51:36
14,RUN,Sunrun Inc.,30.92,+7.13,+29.97%,42.866M,7.825M,6.497B,N/A,29/07/2022 03:51:36
15,ABEV,Ambev S.A.,2.8800,+0.0500,+1.77%,40.773M,34.736M,45.329B,18.00,29/07/2022 03:51:36
16,BAC,Bank of America Corporation,33.32,-0.27,-0.80%,40.176M,47.047M,267.734B,10.41,29/07/2022 03:51:36
17,PFE,Pfizer Inc.,50.72,-0.83,-1.61%,35.696M,22.091M,284.585B,11.42,29/07/2022 03:51:36
18,ITUB,Itaú Unibanco Holding S.A.,4.5600,+0.1200,+2.70%,37.299M,51.044M,44.69B,8.60,29/07/2022 03:51:36
19,PBR,Petróleo Brasileiro S.A. - Petrobras,13.39,+0.44,+3.40%,35.345M,30.499M,87.331B,3.09,29/07/2022 03:51:36
20,AAL,American Airlines Group Inc.,13.76,-0.21,-1.50%,35.547M,35.886M,8.942B,N/A,29/07/2022 03:51:36
21,KGC,Kinross Gold Corporation,3.3700,+0.1400,+4.33%,34.537M,22.096M,4.381B,19.82,29/07/2022 03:51:36
22,BABA,Alibaba Group Holding Limited,100.55,-2.23,-2.17%,33.097M,27.041M,266.675B,29.40,29/07/2022 03:51:36
