,Symbol,Name,Price,Market Time,Change,Change %,Volume,Market cap,date/time
0,AMZN,"Amazon.com, Inc.",122.28,4:00PM EDT,+1.31,+1.08%,82.246M,1.244T,29/07/2022 03:51:36
1,AAPL,Apple Inc.,157.35,4:00PM EDT,+0.56,+0.36%,81.379M,2.547T,29/07/2022 03:51:36
2,INTC,Intel Corporation,39.71,4:00PM EDT,-0.47,-1.17%,56.662M,162.374B,29/07/2022 03:51:36
3,ROKU,"Roku, Inc.",85.17,4:00PM EDT,-1.75,-2.01%,14.72M,11.581B,29/07/2022 03:51:36
4,BHC,Bausch Health Companies Inc.,5.10,4:00PM EDT,-3.58,-41.24%,22.269M,1.844B,29/07/2022 03:51:36
5,HKD,AMTD Digital Inc.,180.00,4:00PM EDT,+103.31,+134.71%,2.407M,33.308B,29/07/2022 03:51:36
6,IMAX,IMAX Corporation,17.42,4:00PM EDT,+0.21,+1.22%,"591,452",1.032B,29/07/2022 03:51:36
7,BABA,Alibaba Group Holding Limited,100.55,4:05PM EDT,-2.23,-2.17%,33.097M,266.675B,29/07/2022 03:51:36
8,RUN,Sunrun Inc.,30.92,4:00PM EDT,+7.13,+29.97%,42.866M,6.497B,29/07/2022 03:51:36
9,DXCM,"DexCom, Inc.",86.99,4:00PM EDT,+1.19,+1.39%,4.317M,34.144B,29/07/2022 03:51:36
10,TTD,"The Trade Desk, Inc.",47.13,4:00PM EDT,+0.50,+1.07%,5.908M,22.921B,29/07/2022 03:51:36
11,SWK,"Stanley Black & Decker, Inc.",98.58,4:00PM EDT,-18.87,-16.07%,7.679M,14.882B,29/07/2022 03:51:36
12,SIGA,"SIGA Technologies, Inc.",22.35,4:00PM EDT,+4.45,+24.86%,36.355M,1.618B,29/07/2022 03:51:36
13,9988.HK,Alibaba Group Holding Limited,92.900,1:17PM HKT,-6.250,-6.30%,53.182M,1.968T,29/07/2022 03:51:36
14,PFE,Pfizer Inc.,50.72,4:03PM EDT,-0.83,-1.61%,35.696M,284.585B,29/07/2022 03:51:36
15,PBR,Petróleo Brasileiro S.A. - Petrobras,13.39,4:00PM EDT,+0.44,+3.40%,35.345M,87.331B,29/07/2022 03:51:36
16,CMCSA,Comcast Corporation,39.41,4:00PM EDT,-3.96,-9.13%,46.133M,176.557B,29/07/2022 03:51:36
17,C6L.SI,Singapore Airlines Limited,5.47,1:22PM SGT,+0.11,+2.05%,8.933M,16.249B,29/07/2022 03:51:36
18,ATHX,"Athersys, Inc.",0.3250,4:00PM EDT,+0.1350,+71.05%,267.907M,85.779M,29/07/2022 03:51:36
19,GETY,"Getty Images Holdings, Inc.",10.50,4:00PM EDT,+0.22,+2.14%,"255,294",3.598B,29/07/2022 03:51:36
20,X,United States Steel Corporation,21.70,4:00PM EDT,+0.46,+2.17%,12.391M,5.656B,29/07/2022 03:51:36
21,^HSI,HANG SENG INDEX,"20,131.59",1:17PM HKT,-491.09,-2.38%,0,N/A,29/07/2022 03:51:36
22,0700.HK,Tencent Holdings Limited,308.400,1:17PM HKT,-12.400,-3.87%,16.926M,2.966T,29/07/2022 03:51:36
23,XOM,Exxon Mobil Corporation,92.64,4:03PM EDT,+1.07,+1.17%,19.717M,390.311B,29/07/2022 03:51:36
24,NQ=F,Nasdaq Futures,"12,903.00",1:22AM EDT,+165.50,+1.30%,"27,718",N/A,29/07/2022 03:51:36
25,AMD,"Advanced Micro Devices, Inc.",91.67,4:00PM EDT,+1.85,+2.06%,77.735M,148.552B,29/07/2022 03:51:36
26,LUV,Southwest Airlines Co.,38.15,4:00PM EDT,-2.62,-6.43%,16.593M,22.621B,29/07/2022 03:51:36
27,SBILIFE.NS,SBI Life Insurance Company Limited,"1,294.35",11:02AM IST,+102.90,+8.64%,4.737M,1.303T,29/07/2022 03:51:36
28,FSLR,"First Solar, Inc.",88.50,4:00PM EDT,+11.74,+15.29%,7.707M,9.433B,29/07/2022 03:51:36
29,TBLT,"ToughBuilt Industries, Inc.",5.86,4:00PM EDT,+1.28,+27.95%,70.708M,12.479M,29/07/2022 03:51:36
